id,name,surname,initials,age,date_of_birth
49,Henro,Malthorpe,HM,25,28/06/1997
50,Henro,Smith,HS,53,28/06/1969
51,John,Simpson,JS,56,28/06/1966
52,Annatjie,Vanidestine,AV,73,28/06/1949
53,Ken,Montre,KM,30,28/06/1992
54,Annatjie,Johnston,AJ,34,28/06/1988
55,Michelle,Copperfield,MC,25,28/06/1997
56,Ken,Copperfield,KC,44,28/06/1978
57,Mary,Vanidestine,MV,65,28/06/1957
58,Mary,Farraday,MF,45,28/06/1977
59,Mellisa,Walker,MW,68,28/06/1954
60,Mellisa,Walker,MW,46,28/06/1976
61,Jane,Johnston,JJ,33,28/06/1989
62,Jane,Griffon,JG,39,28/06/1983
63,Michael,Englebrecht,ME,55,28/06/1967
64,Mellisa,Montre,MM,27,28/06/1995
65,Ken,Englebrecht,KE,44,28/06/1978
66,Annatjie,Malthorpe,AM,67,28/06/1955
67,Cindy,Mather,CM,56,28/06/1966
68,Annatjie,Callisi,AC,75,28/06/1947
69,Annatjie,Englebrecht,AE,27,28/06/1995
70,Henro,Griffon,HG,61,28/06/1961
71,James,Strider,JS,67,28/06/1955
72,Michael,Mather,MM,18,28/06/2004
73,Mannie,Mather,MM,66,28/06/1956
74,James,Tuffin,JT,71,28/06/1951
75,Lucy,Farraday,LF,59,28/06/1963
76,Lucy,Tuffin,LT,22,28/06/2000
77,James,Johnston,JJ,39,28/06/1983
78,Ken,Strider,KS,63,28/06/1959
79,John,Englebrecht,JE,23,28/06/1999
80,Jane,Smith,JS,73,28/06/1949
81,Daisy,Watson,DW,36,28/06/1986
82,Michelle,Mather,MM,46,28/06/1976
83,Mary,Webb,MW,72,28/06/1950
84,Henro,Farraday,HF,25,28/06/1997
85,Mellisa,Strider,MS,72,28/06/1950
86,Michelle,Tesla,MT,73,28/06/1949
87,Mary,Strider,MS,60,28/06/1962
88,Michael,Watson,MW,43,28/06/1979
89,Cindy,Smith,CS,22,28/06/2000
90,Lucy,Smith,LS,65,28/06/1957
91,Cindy,Tuffin,CT,65,28/06/1957
92,Henro,Tesla,HT,57,28/06/1965
93,Melinda,Johnston,MJ,19,28/06/2003
94,John,Montre,JM,22,28/06/2000
95,Cindy,Mason,CM,71,28/06/1951
96,Michael,Holdsworth,MH,46,28/06/1976
97,Jonothan,Johnston,JJ,51,28/06/1971
98,Cindy,Mather,CM,48,28/06/1974
99,James,Watson,JW,19,28/06/2003
100,Jonothan,Mason,JM,67,28/06/1955
101,Annatjie,Callisi,AC,20,28/06/2002
102,Joan,Callisi,JC,37,28/06/1985
103,Michelle,Mason,MM,70,28/06/1952
104,Tristan,Griffon,TG,39,28/06/1983
105,Cindy,Farraday,CF,72,28/06/1950
106,Michelle,Webb,MW,24,28/06/1998
107,James,Griffon,JG,48,28/06/1974
108,Cindy,Holdsworth,CH,71,28/06/1951
109,James,Strider,JS,69,28/06/1953
110,Jonothan,Simpson,JS,22,28/06/2000
111,Michelle,Tesla,MT,24,28/06/1998
112,Tristan,Simpson,TS,57,28/06/1965
113,Kyle,Callisi,KC,74,28/06/1948
114,Tristan,Johnston,TJ,32,28/06/1990
115,Mellisa,Tesla,MT,75,28/06/1947
116,James,Johnston,JJ,29,28/06/1993
117,Henro,Mather,HM,50,28/06/1972
118,Daisy,Farraday,DF,45,28/06/1977
119,Tristan,Smith,TS,22,28/06/2000
120,Michael,Farraday,MF,24,28/06/1998
121,Mellisa,Griffon,MG,38,28/06/1984
122,Mannie,Montre,MM,50,28/06/1972
123,Mannie,Callisi,MC,54,28/06/1968
124,Melinda,Mather,MM,29,28/06/1993
125,Tristan,Malthorpe,TM,38,28/06/1984
126,John,Walker,JW,20,28/06/2002
127,Michael,Griffon,MG,50,28/06/1972
128,James,Tesla,JT,40,28/06/1982
129,Lucy,Copperfield,LC,23,28/06/1999
130,Lucy,Holdsworth,LH,44,28/06/1978
131,Tristan,Webb,TW,39,28/06/1983
132,Daisy,Walker,DW,60,28/06/1962
133,Kyle,Smith,KS,52,28/06/1970
134,Michelle,Mason,MM,68,28/06/1954
135,Henro,Mather,HM,67,28/06/1955
136,Mellisa,Montre,MM,67,28/06/1955
137,Mellisa,Englebrecht,ME,38,28/06/1984
138,Cindy,Webb,CW,44,28/06/1978
139,Kyle,Griffon,KG,25,28/06/1997
140,Joan,Walker,JW,43,28/06/1979
141,Daisy,Holdsworth,DH,36,28/06/1986
142,Michael,Simpson,MS,43,28/06/1979
143,John,Malthorpe,JM,58,28/06/1964
144,Michael,Johnston,MJ,69,28/06/1953
145,John,Johnston,JJ,38,28/06/1984
146,Lucy,Smith,LS,70,28/06/1952
147,Henro,Strider,HS,38,28/06/1984
148,Tristan,Watson,TW,63,28/06/1959
149,Stefan,Smith,SS,22,28/06/2000
150,Kyle,Malthorpe,KM,36,28/06/1986
151,Henro,Farraday,HF,54,28/06/1968
152,James,Webb,JW,32,28/06/1990
153,Stefan,Watson,SW,60,28/06/1962
154,Jane,Holdsworth,JH,64,28/06/1958
155,Stefan,Strider,SS,48,28/06/1974
156,Cindy,Farraday,CF,36,28/06/1986
157,Jane,Malthorpe,JM,50,28/06/1972
158,Michelle,Johnston,MJ,26,28/06/1996
159,Mellisa,Mather,MM,23,28/06/1999
160,James,Walker,JW,65,28/06/1957
161,Henro,Callisi,HC,45,28/06/1977
162,Lucy,Malthorpe,LM,28,28/06/1994
163,Michelle,Malthorpe,MM,23,28/06/1999
164,Lucy,Farraday,LF,31,28/06/1991
165,James,Tuffin,JT,64,28/06/1958
166,Lucy,Tesla,LT,75,28/06/1947
167,Tristan,Callisi,TC,54,28/06/1968
168,Michael,Callisi,MC,65,28/06/1957
169,Daisy,Copperfield,DC,65,28/06/1957
170,Cindy,Holdsworth,CH,45,28/06/1977
171,Mary,Englebrecht,ME,34,28/06/1988
172,Annatjie,Farraday,AF,55,28/06/1967
173,Cindy,Copperfield,CC,58,28/06/1964
174,Mary,Vanidestine,MV,33,28/06/1989
175,Henro,Mason,HM,32,28/06/1990
176,James,Vanidestine,JV,38,28/06/1984
177,Annatjie,Tuffin,AT,63,28/06/1959
178,Henro,Copperfield,HC,49,28/06/1973
179,Jonothan,Vanidestine,JV,40,28/06/1982
180,Daisy,Vanidestine,DV,65,28/06/1957
181,Lucy,Vanidestine,LV,35,28/06/1987
182,Melinda,Montre,MM,19,28/06/2003
183,Stefan,Mather,SM,66,28/06/1956
184,Cindy,Johnston,CJ,68,28/06/1954
185,Tristan,Mather,TM,24,28/06/1998
186,John,Holdsworth,JH,46,28/06/1976
187,Tristan,Simpson,TS,30,28/06/1992
188,Mannie,Walker,MW,36,28/06/1986
189,Lucy,Holdsworth,LH,21,28/06/2001
190,Stefan,Vanidestine,SV,73,28/06/1949
191,Michael,Simpson,MS,20,28/06/2002
192,Jonothan,Strider,JS,32,28/06/1990
193,Michael,Walker,MW,31,28/06/1991
194,Lucy,Johnston,LJ,34,28/06/1988
195,Joan,Vanidestine,JV,25,28/06/1997
196,Lucy,Johnston,LJ,21,28/06/2001
197,Daisy,Tuffin,DT,65,28/06/1957
198,Annatjie,Griffon,AG,47,28/06/1975
199,Mary,Holdsworth,MH,63,28/06/1959
200,John,Farraday,JF,74,28/06/1948
201,Lucy,Copperfield,LC,22,28/06/2000
202,Cindy,Holdsworth,CH,18,28/06/2004
203,Mellisa,Copperfield,MC,29,28/06/1993
204,Michelle,Tesla,MT,41,28/06/1981
205,Henro,Farraday,HF,51,28/06/1971
206,James,Englebrecht,JE,47,28/06/1975
207,Jane,Copperfield,JC,68,28/06/1954
208,Cindy,Johnston,CJ,52,28/06/1970
209,Mary,Mason,MM,22,28/06/2000
210,Joan,Smith,JS,27,28/06/1995
211,Mary,Griffon,MG,52,28/06/1970
212,Ken,Watson,KW,62,28/06/1960
213,Mannie,Englebrecht,ME,46,28/06/1976
214,Joan,Englebrecht,JE,48,28/06/1974
215,Ken,Webb,KW,58,28/06/1964
216,Ken,Johnston,KJ,33,28/06/1989
217,Jonothan,Johnston,JJ,66,28/06/1956
218,Melinda,Griffon,MG,46,28/06/1976
219,James,Montre,JM,57,28/06/1965
220,Joan,Tuffin,JT,44,28/06/1978
221,Daisy,Englebrecht,DE,53,28/06/1969
222,Henro,Strider,HS,37,28/06/1985
223,Mellisa,Mather,MM,49,28/06/1973
224,Cindy,Mather,CM,70,28/06/1952
225,Michael,Tesla,MT,67,28/06/1955
226,Daisy,Tesla,DT,72,28/06/1950
227,Kyle,Mather,KM,69,28/06/1953
228,Michelle,Callisi,MC,73,28/06/1949
229,Michelle,Englebrecht,ME,36,28/06/1986
230,Annatjie,Griffon,AG,69,28/06/1953
231,Stefan,Englebrecht,SE,27,28/06/1995
232,Kyle,Mather,KM,52,28/06/1970
233,Henro,Smith,HS,58,28/06/1964
234,Stefan,Watson,SW,46,28/06/1976
235,Tristan,Tuffin,TT,67,28/06/1955
236,Melinda,Smith,MS,58,28/06/1964
237,Jonothan,Tesla,JT,22,28/06/2000
238,John,Tuffin,JT,39,28/06/1983
239,Daisy,Farraday,DF,25,28/06/1997
240,Mary,Smith,MS,70,28/06/1952
241,Cindy,Watson,CW,68,28/06/1954
242,Mannie,Englebrecht,ME,58,28/06/1964
243,Michelle,Simpson,MS,70,28/06/1952
244,Jane,Callisi,JC,48,28/06/1974
245,John,Mason,JM,39,28/06/1983
246,Ken,Holdsworth,KH,29,28/06/1993
247,Mary,Walker,MW,49,28/06/1973
248,Mary,Smith,MS,57,28/06/1965
249,Henro,Holdsworth,HH,41,28/06/1981
250,Melinda,Griffon,MG,26,28/06/1996
251,Mellisa,Johnston,MJ,25,28/06/1997
252,Henro,Vanidestine,HV,43,28/06/1979
253,James,Mather,JM,53,28/06/1969
254,James,Montre,JM,24,28/06/1998
255,Tristan,Simpson,TS,33,28/06/1989
256,Daisy,Callisi,DC,60,28/06/1962
257,Tristan,Malthorpe,TM,38,28/06/1984
258,Michelle,Copperfield,MC,66,28/06/1956
259,Kyle,Englebrecht,KE,24,28/06/1998
260,Melinda,Mason,MM,40,28/06/1982
261,Michelle,Tesla,MT,54,28/06/1968
262,Michael,Smith,MS,32,28/06/1990
263,Daisy,Tesla,DT,62,28/06/1960
264,Joan,Malthorpe,JM,31,28/06/1991
265,Michael,Johnston,MJ,53,28/06/1969
266,Stefan,Mather,SM,72,28/06/1950
267,Joan,Watson,JW,46,28/06/1976
268,Joan,Copperfield,JC,42,28/06/1980
269,John,Watson,JW,60,28/06/1962
270,Henro,Holdsworth,HH,33,28/06/1989
271,Mary,Vanidestine,MV,75,28/06/1947
272,Mannie,Mather,MM,51,28/06/1971
273,Mary,Malthorpe,MM,31,28/06/1991
274,Joan,Montre,JM,32,28/06/1990
275,Kyle,Englebrecht,KE,50,28/06/1972
276,Jane,Watson,JW,69,28/06/1953
277,Joan,Vanidestine,JV,42,28/06/1980
278,James,Tuffin,JT,53,28/06/1969
279,Daisy,Mason,DM,58,28/06/1964
280,Jonothan,Copperfield,JC,55,28/06/1967
281,John,Malthorpe,JM,20,28/06/2002
282,Mary,Farraday,MF,28,28/06/1994
283,Henro,Copperfield,HC,31,28/06/1991
284,Lucy,Tesla,LT,34,28/06/1988
285,Tristan,Mason,TM,66,28/06/1956
286,Daisy,Mather,DM,73,28/06/1949
287,Annatjie,Strider,AS,26,28/06/1996
288,Daisy,Mather,DM,18,28/06/2004
289,Melinda,Malthorpe,MM,64,28/06/1958
290,Henro,Webb,HW,38,28/06/1984
291,Tristan,Simpson,TS,66,28/06/1956
292,Lucy,Englebrecht,LE,37,28/06/1985
293,Cindy,Mather,CM,58,28/06/1964
294,Daisy,Farraday,DF,53,28/06/1969
295,Henro,Johnston,HJ,75,28/06/1947
296,Jonothan,Walker,JW,52,28/06/1970
297,Ken,Montre,KM,26,28/06/1996
298,Melinda,Copperfield,MC,31,28/06/1991
299,Mellisa,Vanidestine,MV,75,28/06/1947
300,Daisy,Walker,DW,60,28/06/1962
301,Michelle,Tesla,MT,69,28/06/1953
302,Michelle,Holdsworth,MH,40,28/06/1982
303,Michelle,Vanidestine,MV,50,28/06/1972
304,Michelle,Watson,MW,57,28/06/1965
305,Mellisa,Callisi,MC,45,28/06/1977
306,Michael,Simpson,MS,24,28/06/1998
307,Mellisa,Tesla,MT,19,28/06/2003
308,Joan,Vanidestine,JV,21,28/06/2001
309,Stefan,Copperfield,SC,59,28/06/1963
310,Melinda,Copperfield,MC,63,28/06/1959
311,Daisy,Mather,DM,50,28/06/1972
312,Mellisa,Englebrecht,ME,37,28/06/1985
313,Jane,Walker,JW,32,28/06/1990
314,Cindy,Copperfield,CC,73,28/06/1949
315,Tristan,Johnston,TJ,18,28/06/2004
316,John,Watson,JW,18,28/06/2004
317,Tristan,Mather,TM,47,28/06/1975
318,Michelle,Callisi,MC,23,28/06/1999
319,Jonothan,Montre,JM,56,28/06/1966
320,Lucy,Simpson,LS,69,28/06/1953
321,Michelle,Holdsworth,MH,60,28/06/1962
322,Kyle,Farraday,KF,60,28/06/1962
323,Jane,Mather,JM,68,28/06/1954
324,Jane,Farraday,JF,70,28/06/1952
325,Annatjie,Simpson,AS,56,28/06/1966
326,James,Johnston,JJ,60,28/06/1962
327,James,Johnston,JJ,60,28/06/1962
328,Jane,Malthorpe,JM,53,28/06/1969
329,Cindy,Tuffin,CT,27,28/06/1995
330,Stefan,Tesla,ST,59,28/06/1963
331,Tristan,Tesla,TT,61,28/06/1961
332,James,Callisi,JC,61,28/06/1961
333,Jonothan,Copperfield,JC,43,28/06/1979
334,Annatjie,Tuffin,AT,62,28/06/1960
335,Jonothan,Johnston,JJ,59,28/06/1963
336,Joan,Englebrecht,JE,67,28/06/1955
337,Kyle,Simpson,KS,29,28/06/1993
338,Henro,Smith,HS,54,28/06/1968
339,Henro,Callisi,HC,58,28/06/1964
340,Tristan,Strider,TS,64,28/06/1958
341,Daisy,Strider,DS,67,28/06/1955
342,Ken,Johnston,KJ,58,28/06/1964
343,Jane,Malthorpe,JM,27,28/06/1995
344,Cindy,Mather,CM,32,28/06/1990
345,Henro,Watson,HW,59,28/06/1963
346,Stefan,Webb,SW,61,28/06/1961
347,James,Tuffin,JT,46,28/06/1976
348,Mannie,Vanidestine,MV,64,28/06/1958
349,Jane,Walker,JW,44,28/06/1978
350,Henro,Griffon,HG,66,28/06/1956
351,Jonothan,Farraday,JF,22,28/06/2000
352,Cindy,Webb,CW,47,28/06/1975
353,Stefan,Tesla,ST,23,28/06/1999
354,Cindy,Watson,CW,61,28/06/1961
355,Cindy,Strider,CS,65,28/06/1957
356,Stefan,Walker,SW,25,28/06/1997
357,Melinda,Mather,MM,18,28/06/2004
358,John,Griffon,JG,68,28/06/1954
359,Mellisa,Holdsworth,MH,51,28/06/1971
360,Henro,Watson,HW,62,28/06/1960
361,Annatjie,Copperfield,AC,71,28/06/1951
362,Ken,Mason,KM,29,28/06/1993
363,Tristan,Farraday,TF,44,28/06/1978
364,Joan,Watson,JW,49,28/06/1973
365,Jane,Mason,JM,64,28/06/1958
366,Joan,Englebrecht,JE,67,28/06/1955
367,Henro,Malthorpe,HM,48,28/06/1974
368,James,Holdsworth,JH,37,28/06/1985
369,Jonothan,Griffon,JG,41,28/06/1981
370,Daisy,Holdsworth,DH,72,28/06/1950
371,Jane,Malthorpe,JM,27,28/06/1995
372,Stefan,Simpson,SS,34,28/06/1988
373,John,Griffon,JG,32,28/06/1990
374,James,Montre,JM,57,28/06/1965
375,James,Simpson,JS,21,28/06/2001
376,Mary,Johnston,MJ,26,28/06/1996
377,Kyle,Johnston,KJ,30,28/06/1992
378,Jane,Holdsworth,JH,29,28/06/1993
379,Lucy,Strider,LS,43,28/06/1979
380,Michael,Holdsworth,MH,69,28/06/1953
381,Daisy,Walker,DW,49,28/06/1973
382,Michelle,Copperfield,MC,43,28/06/1979
383,Mellisa,Smith,MS,55,28/06/1967
384,Mannie,Englebrecht,ME,58,28/06/1964
385,Mannie,Watson,MW,75,28/06/1947
386,Joan,Vanidestine,JV,49,28/06/1973
387,Mary,Watson,MW,71,28/06/1951
388,Tristan,Watson,TW,24,28/06/1998
389,Lucy,Strider,LS,29,28/06/1993
390,Michael,Smith,MS,66,28/06/1956
391,Michael,Malthorpe,MM,46,28/06/1976
392,Kyle,Copperfield,KC,41,28/06/1981
393,Lucy,Malthorpe,LM,61,28/06/1961
394,Melinda,Webb,MW,65,28/06/1957
395,Kyle,Webb,KW,25,28/06/1997
396,Joan,Mather,JM,49,28/06/1973
397,Lucy,Farraday,LF,55,28/06/1967
398,Jonothan,Johnston,JJ,67,28/06/1955
399,Mary,Mason,MM,33,28/06/1989
400,Jane,Watson,JW,37,28/06/1985
401,John,Watson,JW,67,28/06/1955
402,Stefan,Johnston,SJ,57,28/06/1965
403,Mary,Tuffin,MT,21,28/06/2001
404,Ken,Tesla,KT,66,28/06/1956
405,Michelle,Watson,MW,46,28/06/1976
406,Michael,Watson,MW,51,28/06/1971
407,Mellisa,Smith,MS,62,28/06/1960
408,Tristan,Farraday,TF,48,28/06/1974
409,Jonothan,Mather,JM,30,28/06/1992
410,John,Mather,JM,23,28/06/1999
411,Daisy,Webb,DW,47,28/06/1975
412,Henro,Smith,HS,45,28/06/1977
413,Michael,Tesla,MT,42,28/06/1980
414,Joan,Smith,JS,35,28/06/1987
415,Ken,Montre,KM,41,28/06/1981
416,Michael,Walker,MW,45,28/06/1977
417,Melinda,Callisi,MC,49,28/06/1973
418,Kyle,Malthorpe,KM,71,28/06/1951
419,Henro,Walker,HW,36,28/06/1986
420,Jonothan,Simpson,JS,43,28/06/1979
421,Ken,Strider,KS,39,28/06/1983
422,Kyle,Callisi,KC,34,28/06/1988
423,James,Malthorpe,JM,33,28/06/1989
424,Annatjie,Griffon,AG,53,28/06/1969
425,Stefan,Copperfield,SC,29,28/06/1993
426,Mellisa,Smith,MS,23,28/06/1999
427,Michelle,Malthorpe,MM,59,28/06/1963
428,Henro,Holdsworth,HH,67,28/06/1955
429,Annatjie,Montre,AM,21,28/06/2001
430,Tristan,Simpson,TS,22,28/06/2000
431,Jonothan,Strider,JS,21,28/06/2001
432,Lucy,Tesla,LT,27,28/06/1995
433,Mellisa,Farraday,MF,54,28/06/1968
434,Melinda,Montre,MM,67,28/06/1955
435,Jonothan,Holdsworth,JH,42,28/06/1980
436,Michael,Griffon,MG,55,28/06/1967
437,Ken,Smith,KS,73,28/06/1949
438,Kyle,Watson,KW,45,28/06/1977
439,Mannie,Englebrecht,ME,58,28/06/1964
440,Melinda,Malthorpe,MM,46,28/06/1976
441,Stefan,Watson,SW,64,28/06/1958
442,Lucy,Copperfield,LC,67,28/06/1955
443,Joan,Johnston,JJ,46,28/06/1976
444,Melinda,Englebrecht,ME,43,28/06/1979
445,James,Englebrecht,JE,35,28/06/1987
446,Michael,Griffon,MG,41,28/06/1981
447,Michael,Griffon,MG,33,28/06/1989
448,Tristan,Strider,TS,55,28/06/1967
449,Michelle,Webb,MW,32,28/06/1990
450,Lucy,Callisi,LC,30,28/06/1992
451,Jane,Mather,JM,46,28/06/1976
452,Stefan,Farraday,SF,18,28/06/2004
453,Michael,Callisi,MC,41,28/06/1981
454,Mellisa,Montre,MM,50,28/06/1972
455,Stefan,Tesla,ST,44,28/06/1978
456,Joan,Mason,JM,67,28/06/1955
457,Mannie,Englebrecht,ME,61,28/06/1961
458,John,Holdsworth,JH,60,28/06/1962
459,James,Smith,JS,55,28/06/1967
460,Daisy,Tuffin,DT,37,28/06/1985
461,Jane,Griffon,JG,53,28/06/1969
462,Tristan,Tesla,TT,59,28/06/1963
463,Joan,Griffon,JG,47,28/06/1975
464,James,Callisi,JC,61,28/06/1961
465,Melinda,Englebrecht,ME,58,28/06/1964
466,Michelle,Simpson,MS,58,28/06/1964
467,Cindy,Copperfield,CC,72,28/06/1950
468,Cindy,Englebrecht,CE,49,28/06/1973
469,Michael,Vanidestine,MV,62,28/06/1960
470,Kyle,Callisi,KC,72,28/06/1950
471,Mellisa,Webb,MW,18,28/06/2004
472,Cindy,Mather,CM,36,28/06/1986
473,John,Webb,JW,69,28/06/1953
474,Cindy,Strider,CS,18,28/06/2004
475,Henro,Walker,HW,37,28/06/1985
476,James,Farraday,JF,72,28/06/1950
477,Michael,Malthorpe,MM,31,28/06/1991
478,Mary,Webb,MW,47,28/06/1975
479,Michelle,Walker,MW,43,28/06/1979
480,Michael,Callisi,MC,43,28/06/1979
481,Michelle,Englebrecht,ME,60,28/06/1962
482,Kyle,Copperfield,KC,44,28/06/1978
483,Jonothan,Malthorpe,JM,54,28/06/1968
484,Melinda,Holdsworth,MH,25,28/06/1997
485,Mannie,Tesla,MT,38,28/06/1984
486,Michael,Mason,MM,72,28/06/1950
487,Jonothan,Holdsworth,JH,44,28/06/1978
488,Stefan,Webb,SW,52,28/06/1970
489,Annatjie,Vanidestine,AV,20,28/06/2002
490,Mary,Montre,MM,25,28/06/1997
491,Mary,Walker,MW,57,28/06/1965
492,Stefan,Tesla,ST,51,28/06/1971
493,Stefan,Tuffin,ST,60,28/06/1962
494,Michelle,Englebrecht,ME,29,28/06/1993
495,Jonothan,Webb,JW,45,28/06/1977
496,Annatjie,Johnston,AJ,18,28/06/2004
497,Kyle,Strider,KS,22,28/06/2000
498,Stefan,Mason,SM,36,28/06/1986
499,Daisy,Copperfield,DC,57,28/06/1965
